team_name,game,games_w_holes,games_w_black_holes,step,hole,black_hole,all_hole,avg_hole,avg_black_hole
Alice,19,0,0,125870,0,0,0,0.0,0.0
CYRUS2018,17,0,0,113913,0,0,0,0.0,0.0
FCPGPR2018,15,3,3,101759,4,4,8,0.27,0.27
FRA-UNIted,20,7,6,132687,1001,583,1584,50.05,29.15
HELIOS2018,20,1,0,132190,1,0,1,0.05,0.0
HillStone2018,17,0,0,118136,0,0,0,0.0,0.0
ITAndroids,16,1,0,108742,1,0,1,0.06,0.0
MT2018,19,1,0,126097,1,0,1,0.05,0.0
Namira,19,1,0,127539,1,0,1,0.05,0.0
Oxsy,18,0,0,120133,0,0,0,0.0,0.0
Razi2018,17,2,0,117017,2,0,2,0.12,0.0
Ri-one,16,0,0,108791,0,0,0,0.0,0.0
YuShan,19,0,0,126012,0,0,0,0.0,0.0
Total,232,16,9,1558886,1011,587,1598,4.36,2.53
